year,latitude,longitude,co2
1/1/2015,56,24,13.14
1/1/2015,57,25,7.33
1/1/2015,59,26,15.89
1/1/2015,60,100,"1,671.90"
1/1/2015,60,100,"1,671.90"
1/1/2015,62,10,44.66
1/1/2015,62,15,43.39
1/1/2015,64,26,44.35
1/1/2015,65,-18,3.54
1/1/2015,9,-80,9.61
1/1/2015,10,-84,8.17
1/1/2015,11,-61,45.69
1/1/2015,11,-61,45.69
1/1/2015,12.1167,-61.6667,0.26
1/1/2015,12.5,-69.9667,0.91
1/1/2015,13,-85,5.07
1/1/2015,13.1667,-59.5333,1.3
1/1/2015,13.25,-61.2,0.22
1/1/2015,13.25,-61.2,0.22
1/1/2015,13.25,-61.2,0.22
1/1/2015,13.8333,-88.9167,6.54
1/1/2015,13.8833,-61.1333,0.42
1/1/2015,15,-86.5,10.06
1/1/2015,15.4167,-61.3333,0.14
1/1/2015,15.5,-90.25,19.8
1/1/2015,17.05,-61.8,0.55
1/1/2015,17.25,-88.75,0.52
1/1/2015,17.3333,-62.75,0.24
1/1/2015,18.25,-77.5,7.7
1/1/2015,18.5,-64.5,0.19
1/1/2015,19,-72.4167,2.94
1/1/2015,19,-70.6667,21.47
1/1/2015,21.5,-80,36
1/1/2015,21.75,-71.5833,0.21
1/1/2015,23,-102,477.27
1/1/2015,24.25,-76,2.52
1/1/2015,32.3333,-64.75,0.6
1/1/2015,38,-97,"5,420.80"
1/1/2015,60,-95,565.58
1/1/2015,72,-40,0.52
1/1/2015,-41,174,35.84
1/1/2015,-27,133,403
1/1/2015,-21.5,165.5,4.45
1/1/2015,-20,-175,0.13
1/1/2015,-18,175,1.25
1/1/2015,-16,167,0.17
1/1/2015,-15,-140,0.88
1/1/2015,-13.5833,-172.3333,0.22
1/1/2015,-8,159,0.22
1/1/2015,-8,178,0.01
1/1/2015,-6,147,6.88
1/1/2015,-0.5333,166.9167,0.05
1/1/2015,1.4167,173,0.07
1/1/2015,6.9167,158.25,0.16
1/1/2015,7.5,134.5,0.28
1/1/2015,9,168,0.11
1/1/2015,-34,-64,206.37
1/1/2015,-33,-56,6.65
1/1/2015,-30,-71,81.16
1/1/2015,-23,-58,5.7
1/1/2015,-17,-65,20
1/1/2015,-17,-65,20
1/1/2015,-10,-76,62.75
1/1/2015,-10,-55,512.08
1/1/2015,-2,-77.5,41.87
1/1/2015,4,-72,86.02
1/1/2015,4,-56,2
1/1/2015,5,-59,2.02
1/1/2015,8,-66,176.9
1/1/2015,8,-66,176.9
1/1/2014,-29.5,28.5,2.47
1/1/2014,-29,24,488.01
1/1/2014,-22,17,3.72
1/1/2014,-22,24,6.99
1/1/2014,-20.2833,57.55,4.22
1/1/2014,-20,30,11.87
1/1/2014,-20,47,3.05
1/1/2014,-18.25,35,8.25
1/1/2014,-15,30,4.26
1/1/2014,-13.5,34,1.23
1/1/2014,-12.5,18.5,34.46
1/1/2014,-12.1667,44.25,0.15
1/1/2014,-6,35,11.24
1/1/2014,-4.5833,55.6667,0.49
1/1/2014,-3.5,30,0.43
1/1/2014,-2,30,0.82
1/1/2014,-1,11.75,5.17
1/1/2014,-1,15,3.04
1/1/2014,0,25,4.63
1/1/2014,1,7,0.11
1/1/2014,1,32,4.99
1/1/2014,1,38,13.66
1/1/2014,2,10,5.34
1/1/2014,6,12,6.85
1/1/2014,6.5,-9.5,0.9
1/1/2014,7,21,0.3
1/1/2014,8,-5,9.74
1/1/2014,8,-5,9.74
1/1/2014,8,-2,14.12
1/1/2014,8,1.1667,2.22
1/1/2014,8,38,10.99
1/1/2014,8.5,-11.5,1.14
1/1/2014,9.5,2.25,6.16
1/1/2014,10,8,93.99
1/1/2014,10,49,0.61
1/1/2014,11,-10,2.39
1/1/2014,11.5,43,0.68
1/1/2014,12,-15,0.27
1/1/2014,13,-2,2.8
1/1/2014,13.4667,-16.5667,0.51
1/1/2014,14,-14,8.31
1/1/2014,15,19,0.71
1/1/2014,15,30,14.97
1/1/2014,15,39,0.66
1/1/2014,16,8,2.12
1/1/2014,17,-4,1.41
1/1/2014,20,-12,2.32
1/1/2014,25,17,56.73
1/1/2014,25,17,56.73
1/1/2014,27,30,197.1
1/1/2014,28,3,143.18
1/1/2014,32,-5,59.62
1/1/2014,34,9,27.89
1/1/2014,-8.55,125.5167,0.47
1/1/2014,-5,120,460.02
1/1/2014,1.3667,103.8,56.33
1/1/2014,2.5,112.5,240.06
1/1/2014,3.25,73,1.33
1/1/2014,4.5,114.6667,8.93
1/1/2014,4.5,114.6667,8.93
1/1/2014,7,81,18.16
1/1/2014,13,105,6.52
1/1/2014,13,122,103.03
1/1/2014,15,48,22.26
1/1/2014,15,100,313.19
1/1/2014,16,106,159.71
1/1/2014,16,106,159.71
1/1/2014,20,77,"2,207.53"
1/1/2014,21,57,60.37
1/1/2014,22,98,21.46
1/1/2014,22,98,21.46
1/1/2014,22.1667,113.55,1.28
1/1/2014,22.25,114.1667,45.96
1/1/2014,24,54,208.81
1/1/2014,24,90,71.15
1/1/2014,25,45,601.9
1/1/2014,25.5,51.25,106.87
1/1/2014,26,50.55,31.09
1/1/2014,27.5,90.5,0.92
1/1/2014,28,84,7.66
1/1/2014,29.3375,47.6581,94.76
1/1/2014,30,70,162.43
1/1/2014,31,36,25.76
1/1/2014,31.5,34.75,63.55
1/1/2014,32,53,639.11
1/1/2014,33,44,166.37
1/1/2014,33,65,9.79
1/1/2014,33.8333,35.8333,23.7
1/1/2014,35,33,6.88
1/1/2014,35,38,30.11
1/1/2014,35,105,"9,820.36"
1/1/2014,36,138,"1,264.17"
1/1/2014,37,127.5,586.55
1/1/2014,37,127.5,586.55
1/1/2014,39,35,357.56
1/1/2014,39,71,5.06
1/1/2014,40,45,5.58
1/1/2014,40,60,68.03
1/1/2014,40,127,39.65
1/1/2014,40.5,47.5,37.41
1/1/2014,41,64,104.48
1/1/2014,41,75,9.41
1/1/2014,42,43.5,8.79
1/1/2014,46,105,20.8
1/1/2014,48,68,256.86
1/1/2014,60,100,"1,667.11"
1/1/2014,60,100,"1,667.11"
1/1/2014,35,33,6.88
1/1/2014,35.8333,14.5833,2.46
1/1/2014,39,22,78.66
1/1/2014,39,35,357.56
1/1/2014,39.5,-8,47.96
1/1/2014,40,-4,255.2
1/1/2014,40,45,5.58
1/1/2014,40.5,47.5,37.41
1/1/2014,41,20,5.71
1/1/2014,41.8333,22,7.5
1/1/2014,42,19,2.21
1/1/2014,42,43.5,8.79
1/1/2014,42.5,1.6,0.46
1/1/2014,42.8333,12.8333,348.48
1/1/2014,43,25,45.14
1/1/2014,44,18,22.12
1/1/2014,44,21,37.19
1/1/2014,45.1667,15.5,17.85
1/1/2014,46,2,343.57
1/1/2014,46,15,13.51
1/1/2014,46,25,77.16
1/1/2014,47,8,39.24
1/1/2014,47,20,43.92
1/1/2014,47,29,4.74
1/1/2014,47.1667,9.5333,0.16
1/1/2014,47.3333,13.3333,64.25
1/1/2014,48,68,256.86
1/1/2014,48.6667,19.5,33.56
1/1/2014,49,32,256.58
1/1/2014,49.75,6.1667,9.76
1/1/2014,49.75,15.5,104.06
1/1/2014,50.8333,4,96.39
1/1/2014,51,9,793.64
1/1/2014,52,20,307.56
1/1/2014,52.5,5.75,157.35
1/1/2014,53,-8,36.68
1/1/2014,53,28,63.78
1/1/2014,54,-2,438.69
1/1/2014,56,10,37.62
1/1/2014,56,24,12.87
1/1/2014,57,25,7.24
1/1/2014,59,26,18.9
1/1/2014,60,100,"1,667.11"
1/1/2014,60,100,"1,667.11"
1/1/2014,62,10,43.95
1/1/2014,62,15,43.23
1/1/2014,64,26,47.8
1/1/2014,65,-18,3.46
1/1/2014,9,-80,8.55
1/1/2014,10,-84,7.59
1/1/2014,11,-61,46.14
1/1/2014,11,-61,46.14
1/1/2014,12.1167,-61.6667,0.24
1/1/2014,12.5,-69.9667,0.87
1/1/2014,13,-85,4.78
1/1/2014,13.1667,-59.5333,1.25
1/1/2014,13.25,-61.2,0.21
1/1/2014,13.25,-61.2,0.21
1/1/2014,13.25,-61.2,0.21
1/1/2014,13.8333,-88.9167,6.17
1/1/2014,13.8833,-61.1333,0.41
1/1/2014,15,-86.5,9.28
